[2019-12-27 14:44:27] slim-app.INFO: llego POST '/Menus' route [] {"uid":"bdf737d"}
[2019-12-27 14:45:31] slim-app.INFO: llego POST '/Menus' route [] {"uid":"8be2b4c"}
[2019-12-27 14:45:59] slim-app.INFO: llego POST '/Menus' route [] {"uid":"fdeb743"}
[2019-12-27 14:46:26] slim-app.INFO: llego POST '/Menus' route [] {"uid":"c458639"}
[2019-12-27 14:50:31] slim-app.INFO: llego POST '/Menus' route [] {"uid":"3c9d315"}
[2019-12-27 14:53:28] slim-app.INFO: llego POST '/Menus' route [] {"uid":"081e0a8"}
[2019-12-27 14:53:39] slim-app.INFO: llego POST '/Menus' route [] {"uid":"1e93bca"}
[2019-12-27 14:53:42] slim-app.INFO: llego POST '/Menus' route [] {"uid":"dca20d3"}
[2019-12-27 14:53:50] slim-app.INFO: llego POST '/Menus' route [] {"uid":"abd6c37"}
[2019-12-27 14:55:26] slim-app.INFO: llego POST '/Menus' route [] {"uid":"46ac162"}
[2019-12-27 14:57:07] slim-app.INFO: llego POST '/Menus' route [] {"uid":"2f919d2"}
[2019-12-27 14:57:17] slim-app.INFO: llego POST '/Logout' route [] {"uid":"2c01393"}
[2019-12-27 14:57:22] slim-app.INFO: llego POST '/Login' route [] {"uid":"a91db3f"}
[2019-12-27 14:57:22] slim-app.INFO: llego POST '/Menus' route [] {"uid":"19bfa9f"}
[2019-12-27 14:57:28] slim-app.INFO: llego POST '/Menus' route [] {"uid":"fabd45c"}
[2019-12-27 14:59:17] slim-app.INFO: llego POST '/Menus' route [] {"uid":"c34600b"}
[2019-12-27 15:02:01] slim-app.INFO: llego POST '/Menus' route [] {"uid":"2039b12"}
[2019-12-27 15:02:17] slim-app.INFO: llego POST '/Menus' route [] {"uid":"d8de0a4"}
[2019-12-27 15:02:25] slim-app.INFO: llego POST '/Menus' route [] {"uid":"46ce7fa"}
[2019-12-27 15:02:26] slim-app.INFO: llego POST '/Menus' route [] {"uid":"8bd5c66"}
[2019-12-27 15:02:29] slim-app.INFO: llego POST '/Menus' route [] {"uid":"4870bd4"}
[2019-12-27 15:02:31] slim-app.INFO: llego POST '/Menus' route [] {"uid":"5af8bd3"}
[2019-12-27 15:02:33] slim-app.INFO: llego POST '/Menus' route [] {"uid":"9165fde"}
[2019-12-27 15:03:43] slim-app.INFO: llego POST '/Menus' route [] {"uid":"7b481a7"}
[2019-12-27 15:03:45] slim-app.INFO: llego POST '/Menus' route [] {"uid":"bc31758"}
[2019-12-27 15:04:19] slim-app.INFO: llego POST '/Menus' route [] {"uid":"a388ee9"}
[2019-12-27 15:04:26] slim-app.INFO: llego POST '/Menus' route [] {"uid":"d2fe999"}
[2019-12-27 15:04:27] slim-app.INFO: llego POST '/Menus' route [] {"uid":"e61572b"}
[2019-12-27 15:04:29] slim-app.INFO: llego POST '/Menus' route [] {"uid":"4ceb1fd"}
[2019-12-27 15:04:31] slim-app.INFO: llego POST '/Menus' route [] {"uid":"97a1cf1"}
[2019-12-27 15:04:34] slim-app.INFO: llego POST '/Menus' route [] {"uid":"ea17f80"}
[2019-12-27 15:04:36] slim-app.INFO: llego POST '/Menus' route [] {"uid":"1aaf58c"}
[2019-12-27 15:20:54] slim-app.INFO: llego POST '/Menus' route [] {"uid":"3abbcd0"}
[2019-12-27 15:21:01] slim-app.INFO: llego POST '/Menus' route [] {"uid":"ef2bd1c"}
[2019-12-27 15:23:46] slim-app.INFO: llego POST '/Menus' route [] {"uid":"665f615"}
[2019-12-27 15:29:29] slim-app.INFO: llego POST '/Menus' route [] {"uid":"781c281"}
[2019-12-27 15:31:39] slim-app.INFO: llego POST '/Menus' route [] {"uid":"939293b"}
[2019-12-27 15:37:25] slim-app.INFO: llego POST '/Menus' route [] {"uid":"988a217"}
[2019-12-27 15:39:45] slim-app.INFO: llego POST '/Menus' route [] {"uid":"156d9e3"}
[2019-12-27 15:42:43] slim-app.INFO: llego POST '/Menus' route [] {"uid":"99958e0"}
[2019-12-27 15:43:28] slim-app.INFO: llego POST '/Menus' route [] {"uid":"669880d"}
[2019-12-27 15:45:20] slim-app.INFO: llego POST '/Menus' route [] {"uid":"9ccc877"}
[2019-12-27 15:46:10] slim-app.INFO: llego POST '/Menus' route [] {"uid":"f1318c2"}
[2019-12-27 15:46:44] slim-app.INFO: llego POST '/Menus' route [] {"uid":"b621767"}
[2019-12-27 15:48:30] slim-app.INFO: llego POST '/Menus' route [] {"uid":"7aae297"}
[2019-12-27 15:48:32] slim-app.INFO: llego POST '/Menus' route [] {"uid":"0f1da32"}
[2019-12-27 15:51:29] slim-app.INFO: llego POST '/Menus' route [] {"uid":"9564c06"}
[2019-12-27 15:51:34] slim-app.INFO: llego POST '/Menus' route [] {"uid":"3360986"}
[2019-12-27 15:52:55] slim-app.INFO: llego POST '/Menus' route [] {"uid":"1628054"}
[2019-12-27 15:52:57] slim-app.INFO: llego POST '/Menus' route [] {"uid":"2196cd9"}
